taylor2                   Session
Mon Jul 08 12:14:16 2013  Created
11 11 1 4                 Nr, Ns, Nz, Elements
20                        Step
0.4                       Time
0.02                      Time step
0.01                      Kinvis
1                         Beta
uvp                       Fields written
ASCII                     Format
 1.541798620e-15    -0.9240894345     0.4223724184 
 1.993277244e-06    -0.8261484489     0.3366687536 
 2.455569988e-06    -0.5831609120     0.1654553021 
 3.557108182e-07    -0.3068936324    0.04251842025 
 1.028018801e-06   -0.09562927785  3.055405314e-15 
 1.625518178e-15 -2.006399387e-15  -0.004570994584 
 4.814311272e-15  4.475763783e-15  -0.004570994584 
-1.028018795e-06   -0.09562927785      0.000000000 
-3.557108196e-07    -0.3068936324    0.04251842025 
-2.455569984e-06    -0.5831609120     0.1654553021 
-1.993277247e-06    -0.8261484489     0.3366687536 
 7.803828399e-16    -0.9240894345     0.4223724184 
 1.993277244e-06    -0.8261484489     0.3366687536 
 2.455569988e-06    -0.5831609120     0.1654553021 
 3.557108184e-07    -0.3068936324    0.04251842025 
 1.028018801e-06   -0.09562927785 -3.472569569e-15 
-3.198274673e-16  2.085557464e-15  -0.004570994584 
   0.09562927785 -1.028018807e-06  4.342273466e-16 
   0.09511540320   -0.09511630197   0.004571038422 
   0.09020233297    -0.3052471362    0.04708918053 
   0.07418292594    -0.5800301424     0.1700269002 
   0.04284729271    -0.8217128895     0.3412402132 
 1.459599427e-15    -0.9191267263     0.4269446290 
  -0.04284729271    -0.8217128895     0.3412402132 
  -0.07418292594    -0.5800301424     0.1700269002 
  -0.09020233297    -0.3052471362    0.04708918053 
  -0.09511540320   -0.09511630197   0.004571038422 
  -0.09562927785 -1.028018799e-06 -1.097436674e-15 
    0.3068936324 -3.557108227e-07    0.04251842025 
    0.3052452893   -0.09019926814    0.04708998454 
    0.2894740775    -0.2894757873    0.08960726510 
    0.2380655649    -0.5500621470     0.2125449414 
    0.1375016312    -0.7792598396     0.3837546483 
 8.422606034e-16    -0.8716401003     0.4694586267 
   -0.1375016312    -0.7792598396     0.3837546483 
   -0.2380655649    -0.5500621470     0.2125449414 
   -0.2894740775    -0.2894757873    0.08960726510 
   -0.3052452893   -0.09019926814    0.04708998454 
